category	rule_id	title	description	example	severity	applies_to
i18n	I-003	All languages	Add translations for all supported languages: en	 ru	 uk	 pl.	Update all locale files when adding new keys.	required	frontend
i18n	I-004	Interpolation	Use interpolation for dynamic values in translations.	`t('welcome'	 { name: user.firstName })`.	required	frontend
routing	R-001	Route structure	Follow TanStack Router conventions with _ prefix for layout routes.	`_signedin_client.dashboard` for client dashboard route.	required	frontend
routing	R-002	Route organization	Keep route-related files together: route.tsx	 components/	 hooks/.	Organize files by route in the routes/ directory.	required	frontend
routing	R-003	Navigation	Use React Router's navigate for programmatic navigation.	`navigate('/client/dashboard')` instead of window.location.	required	frontend
styling	ST-001	CSS variables	Use CSS variables for theming and consistent styling.	`var(--primary-color	 #007bff)` instead of hardcoded colors.	required	frontend
styling	ST-002	Responsive design	Ensure components work on mobile devices (Telegram Mini App context).	Test on mobile viewport sizes.	required	frontend
styling	ST-003	Semantic classes	Use semantic class names that describe purpose	 not appearance.	`.appointment-card` instead of `.blue-box`.	required	frontend
styling	ST-004	Consistent spacing	Use consistent spacing and padding throughout the app.	Follow existing spacing patterns in the codebase.	recommended	frontend
performance	P-001	Optimize re-renders	Use React.memo	 useMemo	 and useCallback to prevent unnecessary re-renders.	Memoize expensive computations and callbacks.	recommended	frontend
performance	P-002	Lazy loading	Use lazy loading for routes and heavy components.	`React.lazy()` for route components.	recommended	frontend
performance	P-003	Data fetching	Only fetch data when needed. Use enabled flags in hooks.	Don't fetch data on component mount if it's not immediately needed.	required	frontend
performance	P-004	Pagination	Implement pagination for large datasets.	Use page and pageSize parameters for API calls.	required	frontend
testing	T-001	Tests required	New logic must include tests where applicable.	Add unit tests for utility functions and hooks.	recommended	frontend
testing	T-002	Readable tests	Test names should describe behavior	 not implementation.	`testShouldHandleInvalidInput()` instead of `test1()`.	recommended	frontend
testing	T-003	Test coverage	Aim for meaningful test coverage	 especially for critical paths.	Test error handling and edge cases.	recommended	frontend
reviews	R-001	Small PRs	Keep pull requests small and focused on a single feature or fix.	Prefer multiple small PRs over one large PR.	recommended	all
reviews	R-002	Clear descriptions	PRs must include a clear description of changes and intent.	Explain why the change is needed	 not just what changed.	required	all
reviews	R-003	Self review	Review your own code before requesting review.	Check for typos	 unused code	 and obvious issues.	required	all
security	SE-001	No secrets in code	Never commit secrets	 API keys	 or credentials to the repository.	Use environment variables or secret manager.	required	all
security	SE-002	Input sanitization	Sanitize all user input to prevent injection attacks.	Validate and sanitize inputs before processing.	required	all
security	SE-003	API security	Validate all API responses and handle errors securely.	Don't trust external API responses without validation.	required	frontend
telegram	T-001	WebApp API	Use Telegram WebApp API for native features when available.	Use `window.Telegram.WebApp` for alerts and haptics.	required	frontend
telegram	T-002	Theme support	Support Telegram's light/dark theme using CSS variables.	Use theme-aware CSS variables for colors.	required	frontend
telegram	T-003	User feedback	Use Telegram WebApp alerts for important user feedback.	`tg.showAlert()` for success/error messages.	required	frontend
telegram	T-004	Haptic feedback	Use haptic feedback for user interactions when appropriate.	`tg.HapticFeedback.notificationOccurred('success')`.	recommended	frontend
